query,country,device,clicks,impressions,ctr,position
sognare una casa sconosciuta,ita,MOBILE,2,184,0.010869565217391304,3.0815217391304346
cosa significa sognare una casa,ita,MOBILE,1,21,0.047619047619047616,10.285714285714286
sognare casa allagata,ita,MOBILE,1,202,0.0049504950495049506,7.881188118811881
sognare casa allagata significato,ita,MOBILE,1,86,0.011627906976744186,7.72093023255814
sognare casa che cade a pezzi,ita,TABLET,1,1,1,3
sognare casa vecchia,ita,MOBILE,1,26,0.038461538461538464,7.038461538461538
sognare una casa allagata,ita,MOBILE,1,16,0.0625,7.25
sognare una casa sconosciuta grande,ita,TABLET,1,2,0.5,2
casa allagata significato esoterico,ita,DESKTOP,0,5,0,5.8
casa allagata significato esoterico,ita,MOBILE,0,38,0,6.2368421052631575
casa allagata sogno,ita,DESKTOP,0,2,0,6.5
casa allagata sogno,ita,MOBILE,0,27,0,6.888888888888889
casa nei sogni,ita,MOBILE,0,4,0,8
casa nei sogni,pol,MOBILE,0,1,0,1
cosa significa sognare la casa allagata,ita,MOBILE,0,16,0,7
cosa significa sognare la casa dove abitavo prima,ita,MOBILE,0,1,0,12
cosa significa sognare una casa,ita,DESKTOP,0,1,0,10
cosa significa sognare una casa,ita,TABLET,0,1,0,10
cosa significa sognare una casa vecchia,ita,MOBILE,0,9,0,6.777777777777778
interpretazione sogni casa,idn,MOBILE,0,1,0,6
interpretazione sogni casa,ind,MOBILE,0,1,0,6
le case che sogni libro,ita,MOBILE,0,1,0,4
site:noctalia.app,usa,DESKTOP,0,15,0,60.2
site:noctalia.app,zmb,DESKTOP,0,1,0,26
sognare acqua che allaga,che,MOBILE,0,1,0,2
sognare acqua che allaga,ita,MOBILE,0,2,0,2
sognare acqua in casa,ita,MOBILE,0,1,0,3
sognare acqua pulita,ita,MOBILE,0,1,0,2
sognare allagamento casa,ita,DESKTOP,0,2,0,9
sognare allagamento in casa,ita,DESKTOP,0,2,0,11
sognare allagamento in casa,ita,MOBILE,0,16,0,10.6875
sognare allagamento in casa,prt,MOBILE,0,1,0,11
sognare casa,dom,MOBILE,0,1,0,8
sognare casa,esp,MOBILE,0,1,0,7
sognare casa,ind,MOBILE,0,1,0,6
sognare casa,irl,MOBILE,0,1,0,7
sognare casa,ita,DESKTOP,0,7,0,7
sognare casa,ita,MOBILE,0,51,0,6.450980392156863
sognare casa,ita,TABLET,0,1,0,6
sognare casa,phl,MOBILE,0,1,0,8
sognare casa a soqquadro,ita,MOBILE,0,2,0,7
sognare casa abbandonata,ita,DESKTOP,0,6,0,14.833333333333334
