date,clicks,impressions,ctr,position
2026-07-11,0,141,0,8.858156028368795
2026-07-12,0,161,0,8.658385093167702
2026-07-13,1,171,0.005847953216374269,7.690058479532164
2026-07-14,1,185,0.005405405405405406,7.848648648648648
2026-07-15,0,161,0,7.031055900621118
2026-07-16,4,167,0.023952095808383235,7.335329341317365
2026-07-17,2,168,0.011904761904761904,7.363095238095238
2026-07-18,2,179,0.0111731843575419,6.5139664804469275
2026-07-19,1,173,0.005780346820809248,7.190751445086705
2026-07-20,1,189,0.005291005291005291,6.71957671957672
2026-07-21,3,166,0.018072289156626505,6.975903614457831
2026-07-22,3,180,0.016666666666666666,6.444444444444445
2026-07-23,4,223,0.017937219730941704,6.9641255605381165
2026-07-24,0,176,0,7.159090909090909
2026-07-25,2,182,0.01098901098901099,7.225274725274725
2026-07-26,2,196,0.01020408163265306,7.51530612244898
2026-07-27,1,212,0.0047169811320754715,7.59433962264151
2026-07-28,4,207,0.01932367149758454,7.990338164251208
2026-07-29,1,193,0.0051813471502590676,7.025906735751295
2026-07-30,0,188,0,7.49468085106383
2026-07-31,0,244,0,8.03688524590164
2026-08-01,1,216,0.004629629629629629,7.787037037037037
2026-08-02,1,244,0.004098360655737705,7.459016393442623
2026-08-03,2,269,0.007434944237918215,7.613382899628252
2026-08-04,1,241,0.004149377593360996,8.049792531120332
2026-08-05,0,205,0,7.921951219512195
2026-08-06,0,222,0,7.725225225225225
2026-08-07,2,223,0.008968609865470852,7.609865470852018
