country,device,status,before_clicks,before_impressions,before_ctr,before_position,after_clicks,after_impressions,after_ctr,after_position
aus,DESKTOP,before-only,0,1,0,15,,,,
bol,DESKTOP,after-only,,,,,0,1,0,29
bra,DESKTOP,common,0,1,0,65,0,1,0,55
che,DESKTOP,before-only,0,1,0,2,,,,
che,MOBILE,after-only,,,,,0,3,0,6
chl,DESKTOP,before-only,0,1,0,14,,,,
dom,MOBILE,after-only,,,,,0,1,0,8
esp,DESKTOP,before-only,0,1,0,8,,,,
esp,MOBILE,after-only,,,,,0,1,0,7
fra,DESKTOP,before-only,0,1,0,11,,,,
gbr,MOBILE,after-only,,,,,0,1,0,3
idn,MOBILE,common,0,1,0,6,0,1,0,6
ind,MOBILE,after-only,,,,,0,2,0,6
irl,MOBILE,after-only,,,,,0,1,0,7
ita,DESKTOP,common,0,111,0,10.495495495495495,0,141,0,9.141843971631205
ita,MOBILE,common,9,1074,0.008379888268156424,7.298882681564246,7,1613,0.0043397396156230625,6.570365778053317
ita,TABLET,common,0,21,0,7.476190476190476,2,16,0.125,3.9375
jpn,MOBILE,before-only,0,1,0,12,,,,
kor,MOBILE,before-only,0,1,0,7,,,,
mar,DESKTOP,before-only,0,1,0,1,,,,
pak,MOBILE,before-only,0,1,0,17,,,,
phl,MOBILE,after-only,,,,,0,1,0,8
pol,MOBILE,after-only,,,,,0,1,0,1
prt,MOBILE,after-only,,,,,0,1,0,11
smr,MOBILE,before-only,0,1,0,2,,,,
usa,DESKTOP,common,0,2,0,33,0,15,0,60.2
vnm,DESKTOP,before-only,0,1,0,33,,,,
zmb,DESKTOP,after-only,,,,,0,1,0,26
