query,country,device,status,before_clicks,before_impressions,before_ctr,before_position,after_clicks,after_impressions,after_ctr,after_position
casa allagata significato esoterico,ita,DESKTOP,after-only,,,,,0,5,0,5.8
casa allagata significato esoterico,ita,MOBILE,common,0,10,0,7.2,0,38,0,6.2368421052631575
casa allagata significato esoterico,ita,TABLET,before-only,0,2,0,7,,,,
casa allagata significato esoterico,jpn,MOBILE,before-only,0,1,0,12,,,,
casa allagata sogno,ita,DESKTOP,after-only,,,,,0,2,0,6.5
casa allagata sogno,ita,MOBILE,common,0,8,0,8.875,0,27,0,6.888888888888889
casa nei sogni,chl,DESKTOP,before-only,0,1,0,14,,,,
casa nei sogni,ita,DESKTOP,before-only,0,2,0,4.5,,,,
casa nei sogni,ita,MOBILE,common,0,6,0,8,0,4,0,8
casa nei sogni,pol,MOBILE,after-only,,,,,0,1,0,1
cosa rappresenta la casa nei sogni,ita,MOBILE,before-only,0,1,0,7,,,,
cosa significa sognare la casa allagata,ita,DESKTOP,before-only,0,1,0,9,,,,
cosa significa sognare la casa allagata,ita,MOBILE,common,0,1,0,7,0,16,0,7
cosa significa sognare la casa dove abitavo prima,ita,MOBILE,common,0,1,0,16,0,1,0,12
cosa significa sognare una casa,ita,DESKTOP,after-only,,,,,0,1,0,10
cosa significa sognare una casa,ita,MOBILE,common,0,4,0,9.75,1,21,0.047619047619047616,10.285714285714286
cosa significa sognare una casa,ita,TABLET,after-only,,,,,0,1,0,10
cosa significa sognare una casa vecchia,ita,DESKTOP,before-only,0,1,0,8,,,,
cosa significa sognare una casa vecchia,ita,MOBILE,common,0,8,0,7.5,0,9,0,6.777777777777778
interpretazione sogni casa,idn,MOBILE,common,0,1,0,6,0,1,0,6
interpretazione sogni casa,ind,MOBILE,after-only,,,,,0,1,0,6
interpretazione sogni casa,ita,DESKTOP,before-only,0,1,0,7,,,,
interpretazione sogni casa,ita,MOBILE,before-only,0,2,0,5.5,,,,
interpretazione sogni casa,pak,MOBILE,before-only,0,1,0,17,,,,
le case che sogni libro,ita,MOBILE,after-only,,,,,0,1,0,4
site:noctalia.app,usa,DESKTOP,common,0,2,0,33,0,15,0,60.2
site:noctalia.app,vnm,DESKTOP,before-only,0,1,0,33,,,,
site:noctalia.app,zmb,DESKTOP,after-only,,,,,0,1,0,26
sognare acqua che allaga,che,MOBILE,after-only,,,,,0,1,0,2
sognare acqua che allaga,ita,MOBILE,after-only,,,,,0,2,0,2
sognare acqua in casa,che,DESKTOP,before-only,0,1,0,2,,,,
sognare acqua in casa,ita,MOBILE,common,0,1,0,2,0,1,0,3
sognare acqua pulita,ita,MOBILE,after-only,,,,,0,1,0,2
sognare allagamento casa,ita,DESKTOP,common,0,1,0,7,0,2,0,9
sognare allagamento in casa,fra,DESKTOP,before-only,0,1,0,11,,,,
sognare allagamento in casa,ita,DESKTOP,common,0,2,0,11,0,2,0,11
sognare allagamento in casa,ita,MOBILE,after-only,,,,,0,16,0,10.6875
sognare allagamento in casa,prt,MOBILE,after-only,,,,,0,1,0,11
sognare casa,dom,MOBILE,after-only,,,,,0,1,0,8
sognare casa,esp,DESKTOP,before-only,0,1,0,8,,,,
sognare casa,esp,MOBILE,after-only,,,,,0,1,0,7
sognare casa,ind,MOBILE,after-only,,,,,0,1,0,6
sognare casa,irl,MOBILE,after-only,,,,,0,1,0,7
sognare casa,ita,DESKTOP,common,0,7,0,9.428571428571429,0,7,0,7
sognare casa,ita,MOBILE,common,1,61,0.01639344262295082,6.967213114754099,0,51,0,6.450980392156863
sognare casa,ita,TABLET,after-only,,,,,0,1,0,6
sognare casa,kor,MOBILE,before-only,0,1,0,7,,,,
sognare casa,phl,MOBILE,after-only,,,,,0,1,0,8
sognare casa a soqquadro,ita,MOBILE,common,0,3,0,9.666666666666666,0,2,0,7
sognare casa abbandonata,ita,DESKTOP,common,0,5,0,11.2,0,6,0,14.833333333333334
sognare casa abbandonata,ita,MOBILE,common,0,3,0,5,0,10,0,9.4
sognare casa allagata,ita,DESKTOP,common,0,4,0,9,0,10,0,7.8
sognare casa allagata,ita,MOBILE,common,0,68,0,9.352941176470589,1,202,0.0049504950495049506,7.881188118811881
sognare casa allagata,ita,TABLET,common,0,1,0,12,0,2,0,4
sognare casa allagata acqua pulita,ita,DESKTOP,common,0,1,0,13,0,3,0,8.666666666666668
sognare casa allagata acqua pulita,ita,MOBILE,after-only,,,,,0,15,0,1
