query,status,before_clicks,before_impressions,before_ctr,before_position,after_clicks,after_impressions,after_ctr,after_position
casa allagata significato esoterico,common,0,13,0,7.538461538461538,0,43,0,6.186046511627907
casa allagata sogno,common,0,8,0,8.875,0,29,0,6.862068965517241
casa nei sogni,common,0,9,0,7.888888888888889,0,5,0,6.6
cosa rappresenta la casa nei sogni,before-only,0,1,0,7,,,,
cosa significa sognare la casa allagata,common,0,2,0,8,0,16,0,7
cosa significa sognare la casa dove abitavo prima,common,0,1,0,16,0,1,0,12
cosa significa sognare una casa,common,0,4,0,9.75,1,23,0.043478260869565216,10.26086956521739
cosa significa sognare una casa vecchia,common,0,9,0,7.555555555555555,0,9,0,6.777777777777778
interpretazione sogni casa,common,0,5,0,8.2,0,2,0,6
le case che sogni libro,after-only,,,,,0,1,0,4
site:noctalia.app,common,0,3,0,33,0,16,0,58.0625
sognare acqua che allaga,after-only,,,,,0,3,0,2
sognare acqua in casa,common,0,2,0,2,0,1,0,3
sognare acqua pulita,after-only,,,,,0,1,0,2
sognare allagamento casa,common,0,1,0,7,0,2,0,9
sognare allagamento in casa,common,0,3,0,11,0,19,0,10.736842105263158
sognare casa,common,1,70,0.014285714285714285,7.228571428571429,0,64,0,6.5625
sognare casa a soqquadro,common,0,3,0,9.666666666666666,0,2,0,7
sognare casa abbandonata,common,0,8,0,8.875,0,16,0,11.4375
sognare casa allagata,common,0,73,0,9.36986301369863,1,214,0.004672897196261682,7.841121495327103
sognare casa allagata acqua pulita,common,0,1,0,13,0,18,0,2.2777777777777777
sognare casa allagata di acqua pulita,after-only,,,,,0,11,0,3.5454545454545454
sognare casa allagata significato,common,0,12,0,8.75,1,90,0.011111111111111112,7.7444444444444445
sognare casa allagata smorfia,after-only,,,,,0,3,0,11.333333333333334
sognare casa che cade a pezzi,after-only,,,,,1,2,0.5,3
sognare casa che si allaga,common,0,5,0,9.4,0,47,0,7.553191489361702
sognare casa con tante stanze,after-only,,,,,0,1,0,2
sognare casa dei nonni defunti,after-only,,,,,0,1,0,3
sognare casa diroccata,common,0,7,0,1,0,5,0,4.6
sognare casa distrutta,before-only,0,1,0,3,,,,
sognare casa dove abitavo prima,before-only,0,2,0,2,,,,
sognare casa grande,after-only,,,,,0,3,0,16
sognare casa grande con tante stanze,common,0,1,0,2,0,2,0,2.5
sognare casa in costruzione,before-only,0,1,0,3,,,,
sognare casa in disordine,before-only,0,1,0,29,,,,
sognare casa in disordine e sporca,after-only,,,,,0,1,0,3
sognare casa in disordine smorfia,before-only,0,1,0,3,,,,
sognare casa infestata,common,0,1,0,15,0,1,0,2
sognare casa ristrutturata,common,0,1,0,20,0,1,0,24
sognare casa sporca,common,0,2,0,25.5,0,3,0,19
sognare casa vecchia,common,0,43,0,8.279069767441861,1,30,0.03333333333333333,7
sognare casa vecchia dove abitavo prima,common,0,33,0,10.848484848484848,0,1,0,11
sognare casa vecchia e sporca,after-only,,,,,0,1,0,11
sognare casa vuota,before-only,0,1,0,2,,,,
sognare case,common,0,28,0,6.535714285714286,0,38,0,6.2894736842105265
sognare case diroccate,after-only,,,,,0,7,0,5.428571428571429
sognare case grandi,common,0,3,0,2.333333333333333,0,2,0,8
sognare case significato,common,0,5,0,7.6,0,1,0,9
sognare case vecchie,common,1,13,0.07692307692307693,6.230769230769231,0,25,0,5.8
sognare che la casa si allaga,common,0,6,0,8.5,0,13,0,6.846153846153846
sognare che si allaga casa,common,0,4,0,7.5,0,13,0,7.769230769230769
sognare che si allaga la casa,common,0,11,0,7,0,70,0,6.742857142857143
sognare che si allaga la casa significato,common,0,7,0,8.714285714285715,0,38,0,6.947368421052632
sognare di acquistare una casa,after-only,,,,,0,1,0,2
sognare di allagare casa,common,0,8,0,9,0,20,0,8.05
sognare di avere la casa allagata,common,0,7,0,7.571428571428571,0,13,0,7.076923076923077
sognare di avere la casa sporca,before-only,0,1,0,2,,,,
sognare di cambiare casa,before-only,0,2,0,3,,,,
sognare di cambiare casa cosa significa,common,0,5,0,2,0,3,0,2.333333333333333
sognare di cambiare casa psicologia,after-only,,,,,0,1,0,2
sognare di comprare casa,after-only,,,,,0,2,0,2.5
sognare di comprare una casa nuova,after-only,,,,,0,1,0,3
sognare di comprare una casa vecchia,common,0,11,0,8,0,11,0,9.090909090909092
sognare di entrare in una casa altrui smorfia,common,0,1,0,3,0,1,0,1
sognare di entrare in una casa sconosciuta,common,0,13,0,7.076923076923077,0,16,0,5.9375
sognare di esplorare una casa,common,0,3,0,6,0,10,0,7.2
sognare di essere in una casa sconosciuta,common,0,14,0,6.571428571428571,0,1,0,7
sognare di pulire casa altrui,after-only,,,,,0,2,0,3
sognare di riordinare casa,after-only,,,,,0,1,0,3
sognare di scoprire una nuova stanza in casa,before-only,0,3,0,11,,,,
sognare di vendere casa,before-only,0,1,0,2,,,,
sognare di visitare una casa,before-only,0,1,0,21,,,,
sognare di vivere in un'altra casa,after-only,,,,,0,1,0,3
sognare di vivere in una casa vecchia,before-only,0,5,0,7.8,,,,
sognare festa con sconosciuti,after-only,,,,,0,1,0,3
sognare la casa,common,0,27,0,6.962962962962963,0,39,0,6
sognare la casa allagata,common,0,23,0,9.391304347826088,0,70,0,7.3428571428571425
sognare la casa allagata significato,common,0,7,0,7.857142857142857,0,38,0,6.605263157894737
sognare la casa dei genitori morti,before-only,0,1,0,3,,,,
sognare la casa dell'infanzia,common,0,21,0,7.190476190476191,0,24,0,6.291666666666667
sognare la casa dove abitavo da bambino,before-only,0,1,0,10,,,,
sognare la casa dove abitavo prima,common,1,9,0.1111111111111111,4.555555555555555,0,3,0,13
sognare la casa in disordine,before-only,0,1,0,26,,,,
sognare la casa sporca,common,0,1,0,21,0,2,0,20
sognare la vecchia casa,common,0,36,0,7.027777777777778,0,47,0,6.48936170212766
sognare la vecchia casa di famiglia,common,0,21,0,8.80952380952381,0,25,0,6.96
sognare la vecchia casa di famiglia numeri lotto,common,0,4,0,12,0,2,0,11
sognare lenzuola bianche stese,before-only,0,1,0,2,,,,
sognare mobili antichi,after-only,,,,,0,1,0,3
sognare pareti di casa rovinate,before-only,0,13,0,9.076923076923077,,,,
sognare pavimento rotto,after-only,,,,,0,1,0,1
sognare persone sconosciute smorfia,before-only,0,1,0,3,,,,
sognare ragnatele in casa,after-only,,,,,0,1,0,2
sognare residence,after-only,,,,,0,1,0,11
sognare residenziale,common,0,1,0,65,0,1,0,55
sognare sempre la stessa casa sconosciuta,common,1,26,0.038461538461538464,6.538461538461538,0,26,0,6.615384615384615
sognare stanza allagata,common,0,8,0,7.125,0,19,0,4.2631578947368425
sognare tanti animali insieme,after-only,,,,,0,1,0,3
sognare un allagamento in casa,after-only,,,,,0,1,0,1
sognare una bella casa,common,0,1,0,18,0,4,0,9
sognare una casa,common,2,74,0.02702702702702703,6.135135135135135,0,81,0,6.333333333333333
sognare una casa abbandonata,common,1,8,0.125,7.625,0,17,0,9.705882352941176
sognare una casa allagata,common,0,3,0,8.333333333333332,1,17,0.058823529411764705,7.352941176470588
sognare una casa con tante stanze,common,0,11,0,13.636363636363637,0,5,0,12.6
sognare una casa da ristrutturare,after-only,,,,,0,1,0,2
sognare una casa grande,common,0,2,0,14.5,0,5,0,12.4
sognare una casa grande con tanta gente,after-only,,,,,0,1,0,10
sognare una casa grande con tante stanze,before-only,0,6,0,11.166666666666666,,,,
sognare una casa grande da ristrutturare,before-only,0,1,0,8,,,,
sognare una casa grande e bella,common,0,5,0,14.2,0,3,0,11.666666666666666
sognare una casa grande e vecchia,common,0,49,0,9.020408163265307,0,54,0,9.185185185185185
sognare una casa in disordine,after-only,,,,,0,1,0,3
sognare una casa nuova,after-only,,,,,0,2,0,9
sognare una casa nuova grande,before-only,0,3,0,10.666666666666666,,,,
sognare una casa sconosciuta,common,0,224,0,5.741071428571429,2,192,0.010416666666666666,3.109375
sognare una casa sconosciuta grande,common,1,19,0.05263157894736842,5.315789473684211,1,26,0.038461538461538464,2.269230769230769
sognare una casa sconosciuta smorfia,common,0,12,0,7.916666666666667,0,17,0,9.058823529411764
sognare una casa sporca,common,0,2,0,22.5,0,2,0,15
sognare una casa vecchia,common,0,31,0,9.838709677419354,0,35,0,8.771428571428572
sognare una casa vecchia da ristrutturare,common,1,52,0.019230769230769232,8.288461538461538,0,3,0,12.666666666666666
sognare una grande casa,after-only,,,,,0,2,0,12.5
sognare una nuova casa,after-only,,,,,0,1,0,17
sognare una stanza allagata,common,0,15,0,7,0,19,0,5.7894736842105265
sognare una villa,after-only,,,,,0,2,0,15
sognare vecchia casa,common,0,14,0,6.785714285714286,0,8,0,6.5
sogno acqua in casa,after-only,,,,,0,2,0,3
sogno casa allagata,common,0,5,0,7.4,0,9,0,6.666666666666667
sogno casa allagata significato,common,0,2,0,7,0,10,0,7.4
