query,clicks,impressions,ctr,position
dream about work,0,1,0,17
dream about work every night,0,1,0,1
dream of work,0,2,0,20
dream of working,0,2,0,22.5
dreaming about work,0,12,0,23.5
dreaming about work every night,0,5,0,2.8
dreaming about workplace,0,1,0,14
dreaming of work,0,1,0,11
dreaming of working,0,11,0,25.545454545454547
dreams about work,0,14,0,20.428571428571427
how to not dream about work,0,2,0,17
how to stop dreaming about work,0,2,0,18
i dream about work every night,0,2,0,6
is dreaming about work a sign of burnout,0,3,0,4.333333333333334
site:noctalia.app,0,1,0,50
träumen von der arbeit,0,1,0,47
why do i dream about work,0,4,0,16
why do i keep dreaming about work,0,1,0,11
work dreams,0,3,0,15.666666666666666
work stress dreams,0,1,0,21
итог,0,1,0,2
сонник спать на работе,0,1,0,42
