PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description patch,Meta description patch status,Meta description length,No. of meta descriptions,Is indexable page
54,https://noctalia.app/en/about,About Noctalia | Noctalia,text/html; charset=utf-8,false,200,0,0,"Learn who is behind Noctalia, how we create our dream resources, and how to contact us.",,,87,1,true
49,https://noctalia.app/fr/mentions-legales,Mentions légales | Noctalia,text/html; charset=utf-8,false,200,0,0,"Mentions légales du site Noctalia, éditeur, hébergeur et coordonnées de contact.",,,80,1,true
49,https://noctalia.app/fr/cgu,Conditions générales d'utilisation | Noctalia,text/html; charset=utf-8,false,200,0,0,"Conditions générales d'utilisation de l'application Noctalia, journal de rêves intelligent.",,,91,1,true
46,https://noctalia.app/es/simbolos/perro,Soñar con Perro: Significado e interpretación | Noctalia,text/html; charset=utf-8,false,200,0,0,"Descubre qué significa Perro en los sueños. Los perros representan lealtad, amistad y protección.",,,97,1,true
46,https://noctalia.app/es/simbolos/casa,Soñar con Casa: Significado e interpretación | Noctalia,text/html; charset=utf-8,false,200,0,0,Descubre qué significa Casa en los sueños. Una casa representa el yo y el estado psicológico.,,,93,1,true
46,https://noctalia.app/en/symbols/death,Death Dream Meaning: What Does It Mean to Dream About Death? | Noctalia,text/html; charset=utf-8,false,200,0,0,Discover what Death means in dreams. Death in dreams rarely symbolizes literal death.,,,85,1,true
46,https://noctalia.app/es/simbolos/agua,Soñar con Agua: Significado e interpretación | Noctalia,text/html; charset=utf-8,false,200,0,0,Descubre qué significa Agua en los sueños. El agua representa las emociones y el subconsciente.,,,95,1,true
45,https://noctalia.app/es/simbolos/leon,Soñar con León: Significado e interpretación | Noctalia,text/html; charset=utf-8,false,200,0,0,"Descubre qué significa León en los sueños. El león representa fuerza, coraje y liderazgo.",,,89,1,true
45,https://noctalia.app/es/simbolos/telefono,Soñar con Teléfono: Significado e interpretación | Noctalia,text/html; charset=utf-8,false,200,0,0,Descubre qué significa Teléfono en los sueños. Un teléfono representa comunicación.,,,83,1,true
45,https://noctalia.app/es/simbolos/espejo,Soñar con Espejo: Significado e interpretación | Noctalia,text/html; charset=utf-8,false,200,0,0,Descubre qué significa Espejo en los sueños. Un espejo simboliza introspección y autoimagen.,,,92,1,true
45,https://noctalia.app/es/simbolos/coche,Soñar con Coche: Significado e interpretación | Noctalia,text/html; charset=utf-8,false,200,0,0,Descubre qué significa Coche en los sueños. Un coche representa el control sobre tu vida.,,,89,1,true
45,https://noctalia.app/es/simbolos/tren,Soñar con Tren: Significado e interpretación | Noctalia,text/html; charset=utf-8,false,200,0,0,Descubre qué significa Tren en los sueños. Un tren simboliza el viaje de la vida y su trayectoria.,,,98,1,true
24,https://noctalia.app/de/agb,AGB | Noctalia,text/html; charset=utf-8,false,200,0,0,"Nutzungsbedingungen (AGB) von Noctalia: Zugriff, Abos, zulässige Nutzung, Datenschutz und Kontakt.",,,98,1,true
24,https://noctalia.app/it/chi-siamo,Chi siamo | Noctalia,text/html; charset=utf-8,false,200,0,0,"Scopri chi c’è dietro Noctalia, come creiamo le nostre risorse sui sogni e come contattarci.",,,92,1,true
24,https://noctalia.app/it/termini,Termini | Noctalia,text/html; charset=utf-8,false,200,0,0,"Termini di utilizzo di Noctalia: accesso, abbonamenti, uso consentito, privacy e contatti.",,,90,1,true
21,https://noctalia.app/en/blog/lucid-dreaming,Lucid Dreaming: guides & techniques | Noctalia,text/html; charset=utf-8,false,200,0,0,"Discover lucid dreaming: beginner guide, dream incubation, and practical tips to progress.",,,90,1,true
21,https://noctalia.app/it/simboli/acqua,Sognare Acqua: Significato e interpretazione | Noctalia,text/html; charset=utf-8,false,200,0,0,Scopri cosa significa Acqua nei sogni. L'acqua rappresenta le emozioni e il subconscio.,,,87,1,true
21,https://noctalia.app/en/symbols/horse,Horse Dream Meaning: What Does It Mean to Dream About Horse? | Noctalia,text/html; charset=utf-8,false,200,0,0,"Discover what Horse means in dreams. Horses represent freedom, power, and life's journey.",,,89,1,true
