PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Title patch,Title patch status,SERP title,Is page title used in SERP,Top keyword,Top keyword country,Top keyword position
80,https://noctalia.app/de/guides/traumsymbole-lexikon,Traumsymbole-Lexikon A-Z: Bedeutung häufiger Träume | Noctalia,text/html; charset=utf-8,false,200,73,,,Traumsymbole-Lexikon: Deutung von A bis Z | Noctalia,false,traumsymbole a bis z,DE,4
69,https://noctalia.app/it/simboli/cane,Sognare un cane che attacca o morde: significato | Noctalia,text/html; charset=utf-8,false,200,65,,,Sognare Cane: significato - Noctalia,false,sognare un cane che ti attacca,IT,7
64,https://noctalia.app/es/simbolos/hospital,"Soñar con hospital, doctores o enfermos: significado | Noctalia",text/html; charset=utf-8,false,200,53,,,Soñar con Hospital: significado - Noctalia,false,que significa soñar con un hospital,MX,7
59,https://noctalia.app/it/simboli/fuoco,Sognare Fuoco: significato | Noctalia,text/html; charset=utf-8,false,200,42,,,Sognare Fuoco: significato - Noctalia,false,sognare incendio,IT,11
59,https://noctalia.app/es/simbolos/puente,Soñar con puentes rotos o sobre agua: significado | Noctalia,text/html; charset=utf-8,false,200,41,,,Soñar con Puente: significado - Noctalia,false,soñar con puente roto,MX,2
58,https://noctalia.app/es/blog/suenos-de-agua,Soñar con agua o inundaciones: significado según el sueño | Noctalia,text/html; charset=utf-8,false,200,40,,,Soñar con agua o inundaciones: significado según el sueño,false,que significa soñar con inundaciones,VE,7
54,https://noctalia.app/it/simboli/denti,Sognare Denti (perdere i denti): significato | Noctalia,text/html; charset=utf-8,false,200,0,,,Sognare Denti (perdere i denti): Significato e interpretazione,false,cosa significa quando sogni che ti cadono i denti,IT,50
52,https://noctalia.app/de/traumsymbole/fallen,Traumbedeutung Fallen | Noctalia,text/html; charset=utf-8,false,200,6,,,Traumbedeutung Fallen - Noctalia,false,im traum fallen,DE,12
52,https://noctalia.app/es/guides/diccionario-simbolos-suenos,Diccionario de símbolos de sueños (A-Z): 50+ significados,text/html; charset=utf-8,false,200,5,,,Diccionario de Símbolos de Sueños - 50+ significados - Noctalia,false,50 significados de los sueños,ES,4
52,https://noctalia.app/en/guides/most-common-dream-symbols,Most common dream symbols: 20 meanings with examples | Noctalia,text/html; charset=utf-8,false,200,5,,,20 Most Common Dream Symbols & Their Meanings - Noctalia,false,common dream symbols,US,11
51,https://noctalia.app/it/guides/simboli-sogni-comuni,I 20 simboli dei sogni più comuni e i loro significati | Noctalia,text/html; charset=utf-8,false,200,3,,,I 20 simboli dei sogni più comuni e i loro significati - Noctalia,false,simbolo dei sogni,IT,4
50,https://noctalia.app/it/simboli/volare,Sognare Volare: significato | Noctalia,text/html; charset=utf-8,false,200,0,,,Sognare Volare: significato - Noctalia,false,cosa significa volare nei sogni,IT,7
50,https://noctalia.app/it/simboli/acqua,Sognare Acqua: significato | Noctalia,text/html; charset=utf-8,false,200,0,,,Sognare Acqua: significato - Noctalia,false,sognare acqua pulita,IT,13
50,https://noctalia.app/fr/symboles/voler,Rêver de Voler : signification | Noctalia,text/html; charset=utf-8,false,200,0,,,Rêver de Voler : signification - Noctalia,false,rever de voler dans les airs,FR,24
50,https://noctalia.app/es/blog/como-recordar-suenos,Cómo recordar tus sueños al despertar: 10 técnicas | Noctalia,text/html; charset=utf-8,false,200,0,,,Cómo recordar tus sueños al despertar: 10 técnicas - Noctalia,false,como recordar los sueños al despertar,MX,7
50,https://noctalia.app/fr/mentions-legales,Mentions légales | Noctalia,text/html; charset=utf-8,false,200,0,,,Mentions légales - Noctalia,false,noctalia,FR,9
50,https://noctalia.app/en/about,About Noctalia | Noctalia,text/html; charset=utf-8,false,200,0,,,About Noctalia,false,noctalia,PT,4
50,https://noctalia.app/es/guides/simbolos-suenos-mas-comunes,Los 20 símbolos de sueños más comunes y sus significados | Noctalia,text/html; charset=utf-8,false,200,0,,,Los 20 símbolos de sueños más comunes y sus significados,false,20 símbolos y su significado,MX,30
50,https://noctalia.app/en/symbols/flying,Flying Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,,,उड़ने के सपने का क्या मतलब होता है? | नोक्टालिया - Noctalia,false,sapne me udna dekhna,IN,37
50,https://noctalia.app/de/traumsymbole/schlange,Traumbedeutung Schlange | Noctalia,text/html; charset=utf-8,false,200,0,,,Traumbedeutung Schlange - Noctalia,false,schlangenträume bedeutung,DE,12
50,https://noctalia.app/de/guides/wasser-traumsymbole,Wasser-Traumsymbole: Was Wasser in Ihren Träumen bedeutet | Noctalia,text/html; charset=utf-8,false,200,1,,,Wasser-Traumsymbole: Was Wasser in Ihren Träumen bedeutet,false,was bedeutet wasser im traum,DE,9
50,https://noctalia.app/it/guides/dizionario-simboli-sogni,Dizionario dei simboli dei sogni (A–Z) | Noctalia,text/html; charset=utf-8,false,200,0,,,Dizionario dei simboli dei sogni (A–Z) - Noctalia,false,significato dei sogni dalla a alla z,IT,48
50,https://noctalia.app/de/blog/wiederkehrende-traeume-bedeuten-ihre-verborgenen-botschaften-verstehen,Wiederkehrende Träume: 10 häufigste Träume und Bedeutungen | Noctalia,text/html; charset=utf-8,false,200,0,,,Wiederkehrende Träume bedeuten - Noctalia,false,wiederkehrender traum,DE,10
48,https://noctalia.app/es/simbolos/lobo,"Soñar con lobos, manadas o ataques: significado | Noctalia",text/html; charset=utf-8,false,200,16,,,Soñar con Lobo: significado | Noctalia,false,soñar con un lobo,ES,10
47,https://noctalia.app/it/simboli/porta,Sognare una porta aperta o chiusa: significato | Noctalia,text/html; charset=utf-8,false,200,11,,,Sognare Porta: significato | Noctalia,false,sognare porta aperta,IT,7
46,https://noctalia.app/es/blog/suenos-de-volar,"Soñar que vuelas: significado de volar alto, bajo o con miedo | Noctalia",text/html; charset=utf-8,false,200,9,,,¿Qué significa soñar que vuelas en el aire? - Noctalia,false,que significa soñar que vuelo en el aire,MX,6
46,https://noctalia.app/es/blog/sonar-con-examen-significado,"Soñar con examen: aprobar, reprobar o no estudiar | Noctalia",text/html; charset=utf-8,false,200,0,,,"Soñar con examen: aprobar, reprobar o no estudiar - Noctalia",false,que significa soñar que apruebas un examen,AR,6
45,https://noctalia.app/es/simbolos/puerta,Soñar con puertas abiertas o cerradas: significado | Noctalia,text/html; charset=utf-8,false,200,8,,,Soñar con Puerta: significado | Noctalia,false,soñar con abrir una puerta,ES,6
45,https://noctalia.app/it/simboli/pioggia,Sognare Pioggia: significato | Noctalia,text/html; charset=utf-8,false,200,7,,,Sognare Pioggia: significato - Noctalia,false,sognare la pioggia significato,IT,9
45,https://noctalia.app/fr/symboles/maison,Rêver de Maison : signification | Noctalia,text/html; charset=utf-8,false,200,6,,,Rêver de Maison : signification - Noctalia,false,rever d'une maison inconnue,FR,8
44,https://noctalia.app/es/simbolos/bosque,Soñar con un bosque oscuro o verde: significado | Noctalia,text/html; charset=utf-8,false,200,6,,,Soñar con Bosque: significado - Noctalia,false,que significa soñar con un bosque oscuro,MX,5
44,https://noctalia.app/it/simboli/ragno,Sognare Ragno: significato | Noctalia,text/html; charset=utf-8,false,200,5,,,Sognare Ragno: significato - Noctalia,false,cosa vuol dire sognare ragni,IT,11
43,https://noctalia.app/es/simbolos/perro,Soñar con Perro: significado | Noctalia,text/html; charset=utf-8,false,200,2,,,Soñar con Perro: significado - Noctalia,false,soñar con un perro enfermo,CO,9
43,https://noctalia.app/es/blog/suenos-con-ex,¿Qué significa soñar con tu ex? 7 explicaciones | Noctalia,text/html; charset=utf-8,false,200,2,,,¿Qué significa soñar con tu ex? 7 explicaciones - Noctalia,false,soñar con tu ex,VE,9
43,https://noctalia.app/it/simboli/inseguimento,Sognare Inseguimento: significato | Noctalia,text/html; charset=utf-8,false,200,1,,,Sognare Inseguimento: significato - Noctalia,false,sognare di essere seguiti,IT,12
43,https://noctalia.app/es/simbolos/coche,Soñar con Coche: significado | Noctalia,text/html; charset=utf-8,false,200,2,,,Soñar con Coche: significado - Noctalia,false,que significa soñar con autos,BO,8
43,https://noctalia.app/it/simboli/oceano,Sognare Oceano / Mare: significato | Noctalia,text/html; charset=utf-8,false,200,3,,,Sognare Oceano / Mare: significato - Noctalia,false,sognare oceano,IT,4
43,https://noctalia.app/it/simboli/scuola,Sognare Scuola: significato | Noctalia,text/html; charset=utf-8,false,200,2,,,Sognare Scuola: significato - Noctalia,false,sognare scuola,IT,8
43,https://noctalia.app/es/simbolos/examen,Soñar con Examen / Prueba: significado | Noctalia,text/html; charset=utf-8,false,200,2,,,Soñar con Examen / Prueba: significado - Noctalia,false,soñar con examen,ES,8
42,https://noctalia.app/it/simboli/automobile,Sognare Automobile: significato | Noctalia,text/html; charset=utf-8,false,200,0,,,Sognare Automobile: significato - Noctalia,false,sognare guidare auto,IT,11
42,https://noctalia.app/de/traumsymbole/verfolgung,Traumbedeutung Verfolgung / Verfolgt werden | Noctalia,text/html; charset=utf-8,false,200,0,,,Traumbedeutung Verfolgung / Verfolgt werden - Noctalia,false,träume verfolgung,DE,12
42,https://noctalia.app/es/simbolos/casa,Soñar con Casa: significado | Noctalia,text/html; charset=utf-8,false,200,0,,,Soñar con Casa: significado - Noctalia,false,soñar con casa desconocida,MX,5
42,https://noctalia.app/fr/symboles/bouche,Rêver de Bouche : signification | Noctalia,text/html; charset=utf-8,false,200,0,,,Rêver de Bouche : signification - Noctalia,false,rêver de sortir quelque chose de sa bouche,FR,10
