PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 3xx,Internal outlinks codes (3xx),No. of internal outlinks to 3xx,External outlinks to 3xx,External outlinks codes (3xx),No. of external outlinks to 3xx
52,https://noctalia.app/en/guides/most-common-dream-symbols,Most common dream symbols: 20 meanings with examples | Noctalia,text/html; charset=utf-8,false,200,5,0,https://noctalia.app/en/,301,1,,,0
50,https://noctalia.app/en/guides/water-dream-symbols,Water Dream Symbols: What Water Means in Your Dreams | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
50,https://noctalia.app/en/blog/how-to-remember-dreams,How to remember dreams: 10 recall techniques that work | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
50,https://noctalia.app/en/symbols/snake,Snake Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
50,https://noctalia.app/en/symbols/teeth,Teeth (losing teeth) Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
50,https://noctalia.app/en/guides/dream-symbols-dictionary,"Dream Symbols Dictionary A-Z: meanings, themes and examples | Noctalia",text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
50,https://noctalia.app/en/about,About Noctalia | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
50,https://noctalia.app/en/terms,Terms of Use | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
50,https://noctalia.app/en/symbols/flying,Flying Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
50,https://noctalia.app/en/symbols/falling,Falling Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
50,https://noctalia.app/en/symbols/water,Water Dream Meaning | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
50,https://noctalia.app/en/privacy-policy,Privacy Policy | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
50,https://noctalia.app/en/guides/,Dream Guides & Symbol Meanings | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
50,https://noctalia.app/en/legal-notice,Legal Notice | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
46,https://noctalia.app/en/blog/lucid-dreaming-beginners-guide,Lucid Dreaming: Master Dream Control Tonight | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
46,https://noctalia.app/en/blog/dream-journal-guide,Dream journal guide: how to start and remember dreams | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
46,https://noctalia.app/,Noctalia: Dream Journal with AI Interpretation,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
46,https://noctalia.app/en/blog/,Resources | Noctalia - Dream Tips and Guides,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
46,https://noctalia.app/en/guides/scary-dream-symbols,Scary Dream Symbols Explained: What Nightmares Really Mean | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
46,https://noctalia.app/en/blog/recurring-dreams-meaning,Recurring Dreams: 10 Most Common and Meanings | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
46,https://noctalia.app/en/account-deletion,Account deletion | Noctalia,text/html; charset=utf-8,false,200,0,0,https://noctalia.app/en/,301,1,,,0
