cluster,locale_pays_appareil,url_actuelle,url_concurrente_eventuelle,clics,impressions,ctr,position,fenetre,diagnostic,action_recommandee,priorite,confiance,preuve,conflit_experimental
"IT — acqua sporca/torbida","it / IT / mobile","https://noctalia.app/it/simboli/acqua","https://noctalia.app/it/guides/simboli-sogni-acqua",4,1349,"0.297%",6.09,"2026-07-11..2026-08-07 vs 2026-06-13..2026-07-10","HOLD mesure; ownership page-level déjà en bascule après la modification du 16 juillet","conserver la fiche pour l'intention courte et le guide pour les scénarios larges; aucune édition immédiate de contenu, métadonnées ou ancres; mesurer une fenêtre entièrement postérieure au 16 juillet; revoir les ancres seulement si le partage persiste; aucune troisième page; aucun cross-canonical","P1-HOLD_MESURE","haute","GSC propriété courant: 31 variantes, 4 clics, 1349 impr.; page-level précédent: 672 impr. = fiche 94 + guide 578; page-level courant: 1433 impr. = fiche 909 + guide 506 + blog 17 + pluie 1","modification du 16 juillet; fenêtre courante débutant le 11 juillet, donc pas entièrement postérieure"
"DE — traumlexikon","de / DE+DACH / mobile","https://noctalia.app/de/guides/traumsymbole-lexikon","https://noctalia.app/de/traumlexikon-app",0,74,"0.000%",12.47,"2026-07-11..2026-08-07 vs 2026-06-13..2026-07-10","propriétaires d'intention conservés; l'ancre produit générique a été corrigée dans la source après autorisation","conserver le lexique pour l'information et A-Z, la page app pour le produit; ancre docs-src/content/pages/page.android-dream-analysis-app/de.md:67 renommée en Traumlexikon-App für Android; vérifier le déploiement public avant de démarrer la mesure","P1-GO_SEPARE","haute","GSC exact: guide 67 impr., app 13, accueil 1; source auditée et modifiée à la ligne 67; SERP lexiques A-Z","implémentation source autorisée; push, déploiement et effet SEO non encore prouvés"
"DE — Traumdeutung générique","de / DE / mobile","https://noctalia.app/de/blog/traumbedeutungen-interpretation-symbole","https://noctalia.app/de/blog/wiederkehrende-traeume-bedeuten-ihre-verborgenen-botschaften-verstehen ; https://noctalia.app/de/guides/haeufigste-traumsymbole ; https://noctalia.app/de/guides/traumsymbole-lexikon",5,462,"1.082%",6.68,"2026-07-11..2026-08-07 vs 2026-06-13..2026-07-10","HOLD architecture; quatre URL existantes doivent être comparées avant de choisir un hub générique","comparer les quatre URL en page×query; ne pas promouvoir le guide fréquent; conserver le lexique pour Traumlexikon/A-Z, la page app pour le produit et l'article récurrent pour les rêves récurrents; aucune dé-optimisation avant preuve","P1-HOLD_ARCHITECTURE","moyenne","GSC cluster propriété: 5 clics, 462 impr.; page×query visible: article récurrent 261, guide fréquent 155, lexique 46; hub existant confirmé par title/H1 et description Drehscheibe; article récurrent environ 260 impr. DACH à position proche de 3","cartographie initiale incomplète; risque de déplacer la cannibalisation ou de perdre la performance de l'article récurrent"
"EN — dream journal app","en / US / desktop+mobile","https://noctalia.app/en/dream-journal-apps","",0,53,"0.000%",10.51,"2026-07-11..2026-08-07 vs 2026-06-13..2026-07-10","HOLD post-déploiement; la baseline GSC précède les modifications du 8 au 10 août","aucune nouvelle édition de contenu ou snippet; attendre 28 jours complets à partir du dernier déploiement public vérifié, pas du commit","P2-HOLD_POST_DEPLOIEMENT","moyenne","GSC arrêté au 7 août: 0 clic, 53 impr., dont 39 US; URL live 200 auto-canonique et sitemap; aucune donnée de cette fenêtre ne mesure les modifications du 8 au 10 août","date du dernier déploiement public à établir comme début du gate; fenêtre post-déploiement indisponible"
"ES — 50 sueños y su significado","es / ES / mobile","https://noctalia.app/es/guides/diccionario-simbolos-suenos","",6,151,"3.974%",2.97,"2026-07-11..2026-08-07 vs 2026-06-13..2026-07-10","optimiser/protéger URL existante; contenu dédié confirmé","aucune nouvelle page; maintenir le dictionnaire et surveiller le CTR/position","P2-PROTECT","haute","GSC exact: 151/151 impr. sur le dictionnaire; SERP dictionnaires; live 200 auto-canonique","aucun"
"DE — traumsymbole a bis z","de / DE+DACH / mobile","https://noctalia.app/de/guides/traumsymbole-lexikon","https://noctalia.app/de/guides/haeufigste-traumsymbole",180,673,"26.746%",1.65,"2026-07-11..2026-08-07 vs 2026-06-13..2026-07-10","optimiser/protéger URL existante; cible Rank Tracker confirmée par GSC","ne pas retargeter; préserver title/H1/architecture A-Z; surveiller seulement","P2-PROTECT","haute","GSC exact: lexique 667 impr.; portefeuille Rank Tracker target-de-dictionary; SERP A-Z","aucun"
"ES — inondation","es / MX+LatAm / mobile","https://noctalia.app/es/blog/suenos-de-agua","https://noctalia.app/es/simbolos/inundacion",396,19616,"2.019%",3.28,"2026-07-11..2026-08-07 vs 2026-06-13..2026-07-10","optimiser/protéger URL existante; blog propriétaire; fragments à dédupliquer en analyse","conserver le blog pour les scénarios longs et la fiche comme référence courte; aucune nouvelle page","P2-PROTECT","haute","GSC 213 variantes; page×query dominé par le blog; source contient eau sale/maison/mer/fuite; 2 URL live indexables","aucun"
"ES — lobo/lobos","es / MX+US hispanique+ES / mobile","https://noctalia.app/es/simbolos/lobo","",60,6378,"0.941%",5.75,"2026-07-11..2026-08-07 vs 2026-06-13..2026-07-10","optimiser URL existante; page dédiée unique","améliorer le snippet/contenu dans la fiche existante seulement si le gain se maintient à 28 jours; pas de nouvelle page","P2-MONITOR","haute","GSC 118 variantes; 100% page-level sur la fiche lobo; forte croissance vs période précédente","aucun"
"ES — hospital","es / MX+Andes / mobile","https://noctalia.app/es/simbolos/hospital","",33,4397,"0.751%",4.09,"2026-07-11..2026-08-07 vs 2026-06-13..2026-07-10","optimiser URL existante; page dédiée unique","préserver l'URL; tester le snippet seulement dans une expérience distincte et mesurable","P2-MONITOR","haute","GSC 103 variantes; 4396 impr. page-level sur hospital; URL dédiée","aucun"
"IT — fuoco/incendio","it / IT / mobile","https://noctalia.app/it/simboli/fuoco","",41,5315,"0.771%",4.44,"2026-07-11..2026-08-07 vs 2026-06-13..2026-07-10","optimiser URL existante; intention incendio absorbée par la fiche feu","ne pas créer de page incendio; enrichir la fiche seulement après contrôle éditorial et mesure séparée","P2-MONITOR","haute","GSC 119 variantes; 5297 impr. page-level sur fuoco; position améliorée vs période précédente","aucun"
