url_or_intent,verdict,page_clicks_current,page_clicks_previous,page_impressions_current,page_impressions_previous,page_ctr_current,page_ctr_previous,page_position_current,page_position_previous,cluster_clicks_current,cluster_clicks_previous,cluster_impressions_current,cluster_impressions_previous,cluster_position_current,cluster_position_previous,confirmed_owner,next_action
/es/guides/diccionario-simbolos-suenos,ADJUST,15,9,682,742,"2,2 %","1,2 %","6,8","8,5",2,0,66,60,"8,7","13,8",/es/guides/diccionario-simbolos-suenos,clarify_product_anchor_only
/es/diccionario-de-suenos-app,ADJUST,0,0,6,1,"0 %","0 %","7,7",11,0,0,0,0,0,0,/es/diccionario-de-suenos-app,keep_product_intent_and_rename_inbound_anchor
/es/simbolos/perro,HOLD_EXPERIMENT,42,22,"11,4 k","4,37 k","0,4 %","0,5 %","8,2",10,6,1,"2,04 k",981,"9,8","15,5",/es/simbolos/perro,wait_for_metadata_freeze
/es/simbolos/zombi,HOLD_EVIDENCE,0,0,0,0,"0 %","0 %",0,0,0,0,1,0,7,0,unconfirmed,wait_for_spanish_queries
/es/simbolos/abeja,HOLD_EVIDENCE,0,0,0,0,"0 %","0 %",0,0,0,0,0,0,0,0,unconfirmed,wait_for_queries
/es/simbolos/zapatos,HOLD_POST_DEPLOYMENT,0,0,0,0,"0 %","0 %",0,0,0,0,0,0,0,0,/es/simbolos/zapatos,measure_full_post_deployment_window
/es/simbolos/rata,HOLD_EVIDENCE,0,0,1,1,"0 %","0 %",9,4,0,0,26,45,"25,1","28,9",unconfirmed,wait_for_stable_ownership
/es/simbolos/dientes,ADJUST_BACKLOG,0,0,10,17,"0 %","0 %","23,1","44,2",0,0,5,7,"37,4","41,6",/es/simbolos/dientes,reassess_no_teeth_variants_after_more_data
/es/simbolos/accidente,HOLD_EVIDENCE,0,0,0,0,"0 %","0 %",0,0,0,0,0,0,0,0,unconfirmed,do_not_duplicate
/es/simbolos/coche,ADJUST_BACKLOG,4,5,"1,23 k",651,"0,3 %","0,8 %","8,9","11,6",0,0,58,130,"27,1","19,8",/es/simbolos/coche,regional_synonym_brief_later
/es/simbolos/inundacion,HOLD_OWNER,2,3,397,"1,05 k","0,5 %","0,3 %",18,"16,4",393,172,"19,6 k","12,9 k","3,2","4,8",/es/blog/suenos-de-agua,do_not_strengthen_symbol_page_for_cluster
/es/simbolos/lluvia,HOLD_OWNER,0,0,1,3,"0 %","0 %",11,"22,7",7,2,"1,16 k",564,"4,6","4,7",/es/blog/suenos-de-agua,protect_water_guide_owner
/es/simbolos/nieve,HOLD_EVIDENCE,0,0,1,0,"0 %","0 %",2,0,0,0,0,1,0,2,unconfirmed,wait_for_queries
