keyword,country_code,language,tags,observed_url_2026-07-19,annotation
"que significa soñar con lobos","MX","es","lang-es, priority-p1, target-es-wolf, cluster-wolf, geo-mx","https://noctalia.app/es/simbolos/lobo",""
"traumsymbole a bis z","DE","de","lang-de, priority-p1, target-de-dictionary, cluster-dictionary, geo-de","https://noctalia.app/de/guides/traumsymbole-lexikon",""
"sognare incendio","IT","it","lang-it, priority-p2, target-it-fire, cluster-fire, geo-it","https://noctalia.app/it/simboli/fuoco",""
"que significa soñar con una inundacion","MX","es","lang-es, priority-p1, target-es-water-blog, cluster-water, geo-mx","https://noctalia.app/es/blog/suenos-de-agua",""
"soñar con hospital","MX","es","lang-es, priority-p2, target-es-hospital, cluster-hospital, geo-mx","https://noctalia.app/es/simbolos/hospital",""
"sognare bambini piccoli","IT","it","lang-it, priority-p2, target-it-child, cluster-child, geo-it","https://noctalia.app/it/simboli/bambino",""
"que significa soñar con inundaciones de agua","MX","es","lang-es, priority-p1, target-es-water-blog, cluster-water, geo-mx","https://noctalia.app/es/blog/suenos-de-agua",""
"50 sueños y su significado","ES","es","lang-es, priority-p2, target-es-dictionary, cluster-dictionary, geo-es","https://noctalia.app/es/guides/diccionario-simbolos-suenos",""
"soñar con agua inundaciones","ES","es","lang-es, priority-p1, target-es-water-blog, cluster-water, geo-es","https://noctalia.app/es/blog/suenos-de-agua",""
"rêver d'une maison inconnue","FR","fr","lang-fr, priority-p1, target-fr-house, cluster-house, geo-fr","https://noctalia.app/fr/symboles/maison",""
"que significa soñar con un hospital","MX","es","lang-es, priority-p2, target-es-hospital, cluster-hospital, geo-mx","https://noctalia.app/es/simbolos/hospital",""
"sognare un incendio","IT","it","lang-it, priority-p1, target-it-fire, cluster-fire, geo-it","https://noctalia.app/it/simboli/fuoco",""
"soñar con puertas cerradas","ES","es","lang-es, priority-p3, target-es-door, cluster-door, geo-es","https://noctalia.app/es/simbolos/puerta",""
"sognare cane che morde","IT","it","lang-it, priority-p1, target-it-dog, cluster-dog, geo-it","https://noctalia.app/it/simboli/cane",""
"que significa soñar con un puente","MX","es","lang-es, priority-p2, target-es-bridge, cluster-bridge, geo-mx","https://noctalia.app/es/simbolos/puente",""
"soñar con abrir una puerta cerrada","MX","es","lang-es, priority-p3, target-es-door, cluster-door, geo-mx","https://noctalia.app/es/simbolos/puerta",""
"soñar con hospital","ES","es","lang-es, priority-p2, target-es-hospital, cluster-hospital, geo-es","https://noctalia.app/es/simbolos/hospital",""
"test de réalité rêve lucide","FR","fr","lang-fr, priority-p2, target-fr-lucid-guide, cluster-lucid, geo-fr","https://noctalia.app/fr/blog/guide-reve-lucide-debutant",""
"rêver d'eau inondation","FR","fr","lang-fr, priority-p1, target-fr-water-blog, cluster-water, geo-fr","https://noctalia.app/fr/blog/reves-eau",""
"rêver d'inondation signification spirituelle","FR","fr","lang-fr, priority-p2, target-fr-water-blog, cluster-water, geo-fr","https://noctalia.app/fr/blog/reves-eau",""
"traumdeutung tür","DE","de","lang-de, priority-p2, target-de-door, cluster-door, geo-de","https://noctalia.app/de/traumsymbole/tuer",""
"traumdeutung hundebiss","DE","de","lang-de, priority-p1, target-de-dog, cluster-dog, geo-de","https://noctalia.app/de/traumsymbole/hund",""
"wiederkehrender traum","DE","de","lang-de, priority-p2, target-de-recurring, cluster-recurring, geo-de","https://noctalia.app/de/blog/wiederkehrende-traeume-bedeuten-ihre-verborgenen-botschaften-verstehen",""
"traumdeutung fallen","DE","de","lang-de, priority-p1, target-de-falling, cluster-falling, geo-de","https://noctalia.app/de/traumsymbole/fallen",""
"dream location meanings","US","en","lang-en, priority-p1, target-en-locations, cluster-locations, geo-us","https://noctalia.app/en/guides/dream-locations",""
"flying dream meaning","US","en","lang-en, priority-p1, target-en-flying-blog, cluster-flying, geo-us","https://noctalia.app/en/blog/flying-dreams-meaning",""
"traumdeutung flucht verfolgung","DE","de","lang-de, priority-p3, target-de-chase, cluster-chase, geo-de","https://noctalia.app/de/traumsymbole/verfolgung",""
"sognare acqua pulita","IT","it","lang-it, priority-p1, target-it-water-guide, cluster-water, geo-it","https://noctalia.app/it/guides/simboli-sogni-acqua",""
"sognare acqua sporca","IT","it","lang-it, priority-p2, target-it-water-guide, cluster-water, geo-it","https://noctalia.app/it/simboli/acqua","Observed URL differs from the guide target tag; keep under review"
"rêve canicule","FR","fr","lang-fr, priority-p1, target-fr-heat, cluster-heat, geo-fr","https://noctalia.app/fr/blog/canicule-sommeil-reves",""
"soñar con perros que atacan a otra persona","MX","es","lang-es, priority-p3, target-es-dog, cluster-dog, geo-mx","https://noctalia.app/es/simbolos/perro",""
"sognare un cane","IT","it","lang-it, priority-p2, target-it-dog, cluster-dog, geo-it","https://noctalia.app/it/simboli/cane",""
"dreaming about work","US","en","lang-en, priority-p2, target-en-work-dreams, cluster-work, geo-us","https://noctalia.app/en/blog/stress-dreams-work",""
"dream journal guide","US","en","lang-en, priority-p2, target-en-journal-guide, cluster-journal, geo-us","https://noctalia.app/en/blog/dream-journal-guide",""
"sognare ragni","IT","it","lang-it, priority-p3, target-it-spider, cluster-spider, geo-it","https://noctalia.app/it/simboli/ragno",""
"20 símbolos y su significado","ES","es","lang-es, priority-p1, target-es-common-symbols, cluster-dictionary, geo-es","","No ranked URL in the 2026-07-19 mobile snapshot"
"ai dream interpretation app","US","en","lang-en, priority-p3, target-en-ai-app, cluster-ai-product, geo-us","","Exploratory; preserve null baseline"
"can heat cause nightmares","US","en","lang-en, priority-p1, target-en-heat-nightmares, cluster-heat, geo-us","","No ranked URL in the 2026-07-19 mobile snapshot"
"dictionnaire des rêves","FR","fr","lang-fr, priority-p3, target-fr-dictionary, cluster-dictionary, geo-fr","","Exploratory; preserve null baseline"
"dream interpretation app","US","en","lang-en, priority-p3, target-en-ai-app, cluster-ai-product, geo-us","","Historically observed /en/dream-journal-apps; desired target /en/ai-dream-interpretation-app"
