target_tag,target_url,note
target-de-car,https://noctalia.app/de/traumsymbole/auto,
target-de-chase,https://noctalia.app/de/traumsymbole/verfolgung,
target-de-dictionary,https://noctalia.app/de/guides/traumsymbole-lexikon,
target-de-dog,https://noctalia.app/de/traumsymbole/hund,
target-de-door,https://noctalia.app/de/traumsymbole/tuer,
target-de-falling,https://noctalia.app/de/traumsymbole/fallen,
target-de-recurring,https://noctalia.app/de/blog/wiederkehrende-traeume-bedeuten-ihre-verborgenen-botschaften-verstehen,
target-en-ai-app,https://noctalia.app/en/ai-dream-interpretation-app,"Keep distinct from the historically observed /en/dream-journal-apps URL"
target-en-apps,https://noctalia.app/en/dream-journal-apps,
target-en-flying-blog,https://noctalia.app/en/blog/flying-dreams-meaning,
target-en-heat-nightmares,https://noctalia.app/en/blog/heat-stress-nightmares,
target-en-history,https://noctalia.app/en/blog/dream-interpretation-history,
target-en-journal-guide,https://noctalia.app/en/blog/dream-journal-guide,
target-en-locations,https://noctalia.app/en/guides/dream-locations,
target-en-work-dreams,https://noctalia.app/en/blog/stress-dreams-work,
target-es-bridge,https://noctalia.app/es/simbolos/puente,
target-es-common-symbols,https://noctalia.app/es/guides/simbolos-suenos-mas-comunes,
target-es-dictionary,https://noctalia.app/es/guides/diccionario-simbolos-suenos,
target-es-dog,https://noctalia.app/es/simbolos/perro,
target-es-door,https://noctalia.app/es/simbolos/puerta,
target-es-hospital,https://noctalia.app/es/simbolos/hospital,
target-es-water-blog,https://noctalia.app/es/blog/suenos-de-agua,
target-es-wolf,https://noctalia.app/es/simbolos/lobo,
target-fr-dictionary,https://noctalia.app/fr/guides/dictionnaire-symboles-reves,
target-fr-exam-blog,https://noctalia.app/fr/blog/rever-examen-signification,
target-fr-flying-blog,https://noctalia.app/fr/blog/reves-de-voler,
target-fr-heat,https://noctalia.app/fr/blog/canicule-sommeil-reves,
target-fr-house,https://noctalia.app/fr/symboles/maison,
target-fr-journal-guide,https://noctalia.app/fr/blog/guide-journal-reves,
target-fr-lucid-guide,https://noctalia.app/fr/blog/guide-reve-lucide-debutant,
target-fr-water-blog,https://noctalia.app/fr/blog/reves-eau,
target-it-child,https://noctalia.app/it/simboli/bambino,
target-it-dog,https://noctalia.app/it/simboli/cane,
target-it-door,https://noctalia.app/it/simboli/porta,
target-it-fire,https://noctalia.app/it/simboli/fuoco,
target-it-spider,https://noctalia.app/it/simboli/ragno,
target-it-water-guide,https://noctalia.app/it/guides/simboli-sogni-acqua,"Observed SERP URL may differ for sognare acqua sporca"
