country,clicks,impressions,ctr,position
deu,2,1443,0.001386001386001386,38.22799722799723
bel,1,134,0.007462686567164179,37.723880597014926
che,1,190,0.005263157894736842,42.55789473684211
esp,1,963,0.0010384215991692627,34.00415368639668
fra,1,1169,0.000855431993156544,43.964071856287426
gbr,1,486,0.00205761316872428,40.73456790123457
ita,1,1174,0.0008517887563884157,27.703577512776832
usa,1,3755,0.0002663115845539281,43.23994673768309
afg,0,49,0,40.44897959183673
ago,0,13,0,23.384615384615383
alb,0,13,0,27.384615384615383
and,0,1,0,15
are,0,77,0,42.701298701298704
arg,0,670,0,35.528358208955225
arm,0,26,0,39.61538461538461
aus,0,209,0,48.28708133971292
aut,0,115,0,40.17391304347826
aze,0,89,0,33.674157303370784
bdi,0,2,0,8.5
ben,0,16,0,13.75
bfa,0,12,0,23.5
bgd,0,91,0,39.30769230769231
bgr,0,56,0,41.160714285714285
bhr,0,6,0,36.5
bhs,0,2,0,19.5
bih,0,19,0,35.68421052631579
blr,0,1,0,8
blz,0,1,0,2
bol,0,182,0,31.934065934065934
bra,0,599,0,42.43572621035059
brb,0,2,0,36
brn,0,4,0,56.5
btn,0,3,0,29.666666666666668
bwa,0,10,0,38.5
caf,0,1,0,53
can,0,375,0,40.89066666666667
chl,0,411,0,33.45742092457421
chn,0,6,0,25.333333333333332
civ,0,32,0,49
cmr,0,47,0,27.851063829787233
cod,0,54,0,27.24074074074074
cog,0,17,0,31.823529411764707
col,0,734,0,33.787465940054496
com,0,1,0,92
cpv,0,1,0,67
cri,0,107,0,36.02803738317757
cub,0,23,0,36.47826086956522
cuw,0,4,0,35.5
cyp,0,6,0,43
cze,0,69,0,39.94202898550725
dji,0,1,0,91
dnk,0,41,0,39.53658536585366
dom,0,122,0,34.450819672131146
dza,0,132,0,46.57575757575758
ecu,0,242,0,30.487603305785125
egy,0,161,0,50.192546583850934
est,0,17,0,42.1764705882353
eth,0,37,0,35.67567567567568
fin,0,64,0,36.03125
fji,0,1,0,86
gab,0,6,0,18.833333333333332
geo,0,54,0,44.666666666666664
gha,0,25,0,44.72
gin,0,14,0,17
glp,0,3,0,52.666666666666664
gmb,0,1,0,3
gnq,0,2,0,42
grc,0,85,0,44.976470588235294
gtm,0,119,0,30.949579831932773
guf,0,1,0,6
guy,0,4,0,16.75
hkg,0,59,0,48
hnd,0,130,0,23.715384615384615
hrv,0,43,0,40.395348837209305
hti,0,35,0,35.142857142857146
hun,0,66,0,34.25757575757576
idn,0,264,0,40.41287878787879
ind,0,1394,0,41.8974175035868
irl,0,35,0,35.82857142857143
irn,0,20,0,38.05
irq,0,132,0,41.77272727272727
isl,0,6,0,51.666666666666664
isr,0,107,0,39.67289719626168
jam,0,10,0,46.5
jor,0,46,0,43.80434782608695
jpn,0,205,0,40.639024390243904
kaz,0,118,0,41.08474576271186
ken,0,57,0,48.8421052631579
kgz,0,14,0,44.42857142857143
khm,0,4,0,72
kor,0,298,0,42.04026845637584
kwt,0,23,0,42.30434782608695
lao,0,1,0,14
lbn,0,36,0,47.22222222222222
lby,0,28,0,50.07142857142857
lie,0,1,0,31
lka,0,33,0,47.515151515151516
lso,0,1,0,82
ltu,0,35,0,40.05714285714286
lux,0,16,0,42.75
lva,0,14,0,53.857142857142854
maf,0,2,0,59
mar,0,132,0,45.21969696969697
mda,0,12,0,30.083333333333332
mdg,0,29,0,43.241379310344826
mdv,0,3,0,36.333333333333336
