query,clicks,impressions,ctr,position
wiederkehrende träume,1,14,0.07142857142857142,11.928571428571429
10 sueños de una persona,0,7,0,49.285714285714285
ability to fly in dreams,0,1,0,54
abraham lincoln precognitive dream,0,1,0,47
abstract dreams meaning,0,1,0,47
acqua limpida significato,0,2,0,15.5
actividad cerebral durante el sueño rem,0,3,0,81.33333333333333
actividad cerebral durante sueño rem,0,12,0,85.58333333333333
actividad cerebral rem,0,6,0,35.5
actividad cerebral sueño rem,0,24,0,57.25
actividad cerebral sueño rem grafico,0,1,0,97
actividad cerebral sueño rem gráfico,0,1,0,93
aesthetic dream journal,0,1,0,49
aggressive dog dream,0,1,0,14
aggressive dog dream symbolism,0,2,0,4
agua bajo el puente significado,0,1,0,31
agua en calma,0,1,0,94
an träume erinnern,0,1,0,84
analisis diario de la noche,0,1,0,18
ancient dream,0,5,0,36.2
ancient dream interpretation,0,25,0,39.64
ancient dream interpretation art,0,43,0,15.930232558139535
ancient dream interpretation illustration,0,8,0,82.5
ancient dream interpretation symbols,0,4,0,49.5
ancient dream symbol,0,4,0,75.5
ancient dreams,0,1,0,43
ancient egypt dream incubation temple,0,1,0,19
ancient egypt dream interpretation,0,13,0,23.923076923076923
ancient egypt dream interpretation art,0,13,0,17.23076923076923
ancient egypt dream interpretation scene,0,2,0,44.5
ancient egyptian dream incubation temple,0,1,0,25
ancient egyptian dream interpretation,0,13,0,39.46153846153846
ancient egyptian dream temple,0,2,0,21.5
ancient greek dream interpretation,0,11,0,37.54545454545455
ancient greek dream interpretation art,0,5,0,45.2
ancient greek dream temple,0,5,0,90.2
ancient greek palace bedroom,0,1,0,225
ancient mesopotamia night sky,0,39,0,65.28205128205128
ancient mesopotamia night sky illustration,0,1,0,29
ancient prophetic dream illustration,0,1,0,64
angry dog dream symbolism,0,1,0,5
antiguo sueño,0,1,0,65
antique dreams,0,1,0,75
anxiety dream teeth symbolism,0,3,0,71.66666666666667
anxiety dreams,0,1,0,10
anxiety teeth dream,0,1,0,75
app.reve,0,1,0,33
are precognitive dreams rare,0,1,0,24
artemidorus dream interpretation,0,1,0,70
artemidorus dreams,0,1,0,90
bad dreams and nightmares,0,1,0,238
bedeutung traum zähne fallen aus,0,1,0,49
beneficios de llevar un diario personal,0,1,0,138
bewertungsangst,0,3,0,58.666666666666664
brain activity light sleep illustration,0,1,0,97
brain activity rem sleep vivid dreams illustration,0,1,0,97
brain rem sleep vivid dreams illustration,0,2,0,85
cadieu dany 62,0,2,0,7
can dreams be premonitions,0,1,0,58
can dreams predict the future,0,4,0,65.25
can we record our dreams,0,1,0,91
cane,0,3,0,65.66666666666667
cane che morde sogno,0,1,0,6
cane significato simbolico,0,3,0,30
canicule la nuit,0,1,0,58
canicule la nuit que faire,0,1,0,45
canicule nuit,0,5,0,44
canicule sommeil,0,1,0,79
cat sleep paralysis,0,1,0,106
celestial dreamer meaning,0,2,0,17.5
celestial dreams meaning,0,2,0,39.5
cerebro actividad sueño rem,0,1,0,52
cerebro activo durante sueño rem grafico,0,1,0,73
cerebro activo durante sueño rem gráfico,0,1,0,76
cerebro activo sueño rem grafico,0,1,0,92
chaleur la nuit,0,1,0,89
chaleur nuit,0,1,0,54
che cos'è un sogno lucido,0,2,0,19
chester beatty dream book,0,2,0,52.5
chester beatty dream book papyrus,0,1,0,88
chester beatty papyrus dream book,0,1,0,71
color violeta,0,1,0,12
come sognare la notte,0,2,0,9
comment faire un rêve lucide en une nuit,0,1,0,48
comment rever,0,1,0,40
comment se souvenir de ses rêves,0,1,0,47
como acordarse de un sueño,0,3,0,17
como controlar un sueño lucido,0,1,0,38
como despertar de un sueño lucido,0,1,0,42
como funcionan los sueños en el cerebro,0,1,0,102
como provocar un sueño lucido,0,1,0,44
como recordar los sueños,0,1,0,60
como recordar un sueño,0,1,0,74
como se siente la paralisis del sueño,0,1,0,20
como soñar con dark fantasy,0,1,0,31
como soñar lo que quieras,0,1,0,38
como soñar lucido,0,1,0,53
como tener sueños premonitorios,0,9,0,47.44444444444444
como tener un sueño lucido,0,1,0,81
como tener un sueño lucido esta misma noche,0,4,0,34.25
como tener un sueño lucido hoy mismo,0,1,0,49
control de los sueños,0,1,0,48
cool dreams,0,1,0,20
cosa significa sognare cani,0,1,0,5
cosa significa sognare che un cane ti morde,0,1,0,3
cosa significa sognare il fuoco,0,1,0,9
cosa significa sognare un cane che ti morde,0,1,0,5
cosa significa sognare un incendio,0,1,0,6
cosa vuol dire sognare un cane,0,2,0,9
cosa è un sogno lucido,0,1,0,38
crumbling teeth dream symbolism,0,1,0,87
cryptic symbolism in my dreams,0,11,0,67.0909090909091
cuales son los sueños lucidos,0,1,0,72
cuanto dura un sueño lucido,0,1,0,18
death dream symbolic transformation,0,20,0,42.9
death dream symbolism,0,9,0,43.55555555555556
death dreams,0,1,0,16
death interpretation,0,2,0,55.5
death symbolism transformation,0,1,0,42
decaer significado,0,1,0,62
deep sleep environment calm bedroom,0,1,0,97
deep sleep illustration brain calm,0,1,0,60
deep sleep night bedroom calm environment,0,2,0,67.5
deep sleep night calm environment,0,1,0,50
deep sleep night environment,0,1,0,26
deep sleep peaceful environment,0,1,0,53
deep sleep relaxing environment,0,2,0,21
deep thinker journaling night aesthetic,0,1,0,18
demonios de paralisis del sueño,0,1,0,57
dent qui tombe reve signification,0,1,0,30
dent qui tombe rêve illustration,0,41,0,60.048780487804876
dents qui tombent reve,0,2,0,57.5
dents qui tombent reve signification,0,4,0,77.5
dents qui tombent rêve illustration,0,10,0,50.1
des reves,0,1,0,54
despertar de un sueño,0,2,0,88
diario de sueños,0,23,0,73.73913043478261
diario de sueños cuaderno noche,0,16,0,56.125
diario de sueños,0,11,0,81.27272727272727
diario dei sogni,0,1,0,79
diario escribir pensamientos noche,0,7,0,23.285714285714285
diario onirico,0,3,0,33
dictionary meaning book,0,2,0,29
dild lucid dreaming meaning,0,1,0,92
divampare significato,0,1,0,9
do dreams predict future,0,1,0,80
dog attack dream meaning,0,2,0,27
dog attack in dream meaning,0,1,0,41
dog bite dream symbolic illustration,0,1,0,12
dog bite dream symbolism,0,2,0,21
dog bite dream symbolism illustration,0,1,0,24
dog dream,0,1,0,41
dog dream meaning friendly dog,0,1,0,2
dog dream symbolism,0,2,0,5
dog in dream meaning,0,3,0,27.333333333333332
dog in dream symbolism,0,1,0,4
dog symbolism in dreams,0,1,0,21
dogs attack in dream,0,1,0,14
dogs in dream meaning,0,1,0,38
door dream,0,1,0,35
door dream meaning,0,1,0,41
door of dream,0,1,0,74
door opening light symbolic,0,1,0,76
door opening light symbolism,0,2,0,83.5
doorway dream meaning,0,1,0,21
dream,0,21,0,24.476190476190474
dream about death symbolic art,0,1,0,10
dream about death symbolism,0,5,0,69.4
dream about doors,0,1,0,29
dream about falling from height,0,1,0,75
dream about own death meaning,0,1,0,55
dream about pregnancy meaning,0,1,0,99
dream about teeth falling out symbolism,0,1,0,83
dream about the future,0,1,0,68
dream analysis art,0,4,0,37
dream analysis concept art,0,5,0,19.2
dream astrology,0,1,0,92
dream book app,0,1,0,57
dream companion app interface,0,3,0,15.666666666666666
dream control surreal art,0,7,0,64.42857142857143
dream control surreal landscape,0,90,0,32.53333333333333
dream control surreal landscape lucid dream,0,9,0,2.5555555555555554
dream death symbolism,0,2,0,41.5
dream decoding,0,1,0,66
dream dictionary app interface,0,1,0,79
dream divyne erome,0,9,0,30.555555555555557
dream door,0,1,0,89
dream falling from height,0,2,0,65
dream falling sensation,0,1,0,95
dream fantasy meaning,0,6,0,30.166666666666668
dream flying,0,1,0,87
dream flying freedom,0,1,0,99
dream flying sky,0,3,0,76
dream flying sky freedom,0,9,0,31.555555555555557
dream flying sky surreal,0,2,0,77
dream flying symbolism,0,1,0,94
dream giving birth symbolism,0,6,0,68.16666666666667
dream history,0,2,0,34
dream imagery,0,30,0,30.933333333333334
dream incubation ancient egypt,0,2,0,42
dream incubation ancient greece,0,1,0,85
dream interpretation,0,18,0,20.22222222222222
dream interpretation ancient egypt,0,13,0,21.692307692307693
dream interpretation concept,0,65,0,10.692307692307692
dream interpretation concept art,0,2,0,5
dream interpretation death,0,1,0,40
dream interpretation death symbolism,0,3,0,84.66666666666667
dream interpretation dog attack,0,1,0,40
dream interpretation falling from height,0,1,0,75
dream interpretation flying,0,2,0,71.5
dream interpretation giving birth meaning,0,1,0,93
dream interpretation pregnancy,0,2,0,96
dream interpretation pregnancy concept,0,3,0,23.666666666666668
dream interpretation pregnancy meaning,0,1,0,87
dream interpretation pregnancy symbol,0,1,0,51
dream interpretation pregnancy symbolism,0,26,0,70
dream interpretation teeth falling,0,3,0,96.66666666666667
dream interpretation teeth falling out,0,2,0,93.5
dream interpretation teeth falling out symbolism,0,4,0,85.75
dream interpreter,0,3,0,28
dream interpreters,0,4,0,18
dream journal,0,2,0,128.5
dream journal aesthetic night,0,8,0,63
dream journal ai,0,1,0,80
dream journal app ui,0,7,0,86.71428571428571
dream journal bedside,0,112,0,62.17857142857143
dream journal bedside night,0,20,0,45.05
dream journal bedside notebook,0,53,0,67.98113207547169
dream journal bedside notebook night,0,14,0,36.42857142857143
dream journal bedside notebook pen,0,6,0,18.666666666666668
dream journal beside bed,0,3,0,16
dream journal notebook bedside,0,254,0,63.71653543307087
dream journal notebook bedside morning writing,0,3,0,56
dream journal notebook bedside morning writing dreams,0,2,0,67
dream journal notebook bedside night,0,23,0,54
dream journal notebook bedside table,0,4,0,64.5
dream journal notebook bedside writing dreams,0,19,0,61.05263157894737
dream journal notebook bedside writing dreams morning,0,3,0,76.33333333333333
dream journal notebook bedside writing morning,0,4,0,74.75
dream journal notebook by bed,0,1,0,38
dream journal notebook night,0,57,0,73.0701754385965
dream journal notebook night aesthetic,0,3,0,63.333333333333336
dream journal notebook night bedside,0,4,0,44.25
dream journal notebook on bedside table,0,10,0,37.7
dream journal on bedside table,0,9,0,41.666666666666664
dream journal writing bedside,0,12,0,31
